Iteration	Y	var_1	var_2	var_3	var_4	var_5	var_6	var_7	var_8
154.0	-2.7554407137349917	3.0	0.07568526623765798	3.0	0.8260162277523483	3.0	-0.07779315875475318	-3.0	-3.0
155.0	-2.7392281418144524	3.0	3.0	3.0	-0.2279705890632648	-3.0	3.0	0.2746726703334421	3.0
156.0	-2.7698789454156074	3.0	3.0	1.951030244057764	0.006323689942779341	0.26919326718342385	0.8294621962340754	1.0263741792273866	2.0458069685915916
157.0	-2.758110809809821	3.0	-0.10649383612502718	3.0	1.2139907122754754	-3.0	0.02857774958821765	-3.0	-0.8557852745623985
158.0	-2.823142792615441	3.0	2.207904504728376	3.0	-0.12073114462983331	-2.1313240532921762	3.0	-2.0402209643607736	2.2173745111182166
159.0	-2.81706963118731	3.0	3.0	3.0	-1.0739012179822252	-3.0	3.0	-3.0	1.355537551214428
160.0	-2.7771879488733493	3.0	0.936825988769909	3.0	3.0	-0.8295690758183131	0.5202771062914744	-3.0	-0.31100563078952
161.0	-2.775946335896756	3.0	0.42808385436229357	3.0	-1.0863976075862765	-3.0	3.0	-3.0	-3.0
162.0	-2.761505567533294	3.0	-0.19044179281729637	3.0	1.3576556127910246	-0.1408778736580482	-3.0	-3.0	-3.0
163.0	-2.73574336859636	3.0	-0.06324524453098666	3.0	3.0	3.0	-3.0	-3.0	-1.6350456666484945
164.0	-2.799808035654146	3.0	3.0	3.0	-1.3363756178951307	-0.8473598034835608	3.0	-0.05589060251698774	2.3622689306969544
165.0	-2.797704213270314	3.0	3.0	2.0582279141577695	3.0	-1.0041091937454483	-0.9987598002632728	-3.0	0.5771956411093353
166.0	-2.805093721068032	3.0	1.0883797227509906	3.0	-0.21101003024160042	-3.0	3.0	-3.0	0.32045226262806953
167.0	-2.732928427717098	3.0	-1.266876458653616	3.0	3.0	-3.0	3.0	-3.0	2.405354467786976
168.0	-2.767353147909031	3.0	3.0	3.0	-3.0	3.0	3.0	-3.0	-3.0
169.0	-2.7726367305747512	3.0	1.0927482078343598	3.0	-1.4741555755112028	1.3196580257020325	3.0	-3.0	-3.0
170.0	-2.7589660263287485	3.0	1.6577170845184712	1.702323567863601	-1.3703400575398181	3.0	3.0	-3.0	-3.0
171.0	-2.7891898843860763	3.0	0.019792214304531652	3.0	3.0	-0.6962653198979853	3.0	-1.7060219633027587	3.0
172.0	-2.8184458666154266	3.0	2.2288432640568505	3.0	-0.23037865363925497	-0.8940600205727913	2.15114791824157	-0.8382181429784262	3.0
173.0	-2.7872498903004774	3.0	3.0	3.0	-0.6039194927517004	-3.0	0.4605030772432877	-3.0	0.6780938937403989
174.0	-2.76157216263028	3.0	3.0	3.0	-1.2430165992613418	3.0	-3.0	-3.0	-3.0
175.0	-2.7508776656547096	3.0	-1.2191403973261088	1.8082557816005005	3.0	3.0	3.0	-3.0	-3.0
176.0	-2.7634621665194294	3.0	3.0	3.0	0.6837571338241828	-1.5059872327589303	-3.0	-3.0	-3.0
177.0	-2.832530360329239	3.0	3.0	3.0	-0.5838145718781085	-2.4349891319463324	3.0	-1.8143111547524529	2.5713514001155375
178.0	-2.6642720105004996	3.0	3.0	0.6258117559283304	-1.7291384193710437	3.0	-3.0	-3.0	-3.0
179.0	-2.7347379018892064	3.0	1.200016181910182	1.204995625128232	0.2814510563883274	3.0	3.0	-1.4321430266149482	-0.953021889877689
180.0	-2.759939442932488	3.0	-3.0	3.0	3.0	-0.991470476845484	0.882402132781572	-3.0	-0.4746644714885627
181.0	-0.4810954338277063	-3.0	-0.5486069620656133	3.0	-0.643219157083482	-3.0	3.0	3.0	3.0
182.0	-2.7801765622530983	3.0	3.0	1.7718809958087214	0.43425732675788137	-0.7867964194337682	-1.8360790392067081	-3.0	1.046481650311874
183.0	-2.735294078169935	3.0	0.6313535599499789	3.0	3.0	3.0	3.0	-0.5853385689182345	0.60354176865311
184.0	-2.7668543472655998	3.0	3.0	2.0561649067475045	-1.4369862207569886	3.0	0.15748683435361657	-3.0	-3.0
185.0	-2.810912363696716	3.0	1.1414627927793852	3.0	0.7794964988648075	-1.1273968217575057	3.0	-1.421511850123179	3.0
186.0	-2.702132523615404	3.0	0.5332463571757566	3.0	-2.939347378239576	3.0	-3.0	-3.0	-3.0
187.0	-2.6640379921498254	2.940594076679525	-1.3855970240824982	1.2607186329960722	-2.17771265379408	-0.24242817741070466	-1.6601927753854777	-2.6126471012327785	-1.5772337801016094
188.0	-2.6814636538345975	3.0	-1.0321523723510284	1.7162036877095528	-1.9005898001229384	-0.5168601266685321	-2.494172472717823	-3.0	-3.0
189.0	-2.7587605250127263	3.0	-0.8031377407465888	3.0	-1.192911846500693	0.15739208920050307	-0.9134572611491777	-3.0	-0.6343538735059981
190.0	-2.6829303503488893	3.0	0.6764545975964369	1.3935421470194331	-1.5646463646264805	3.0	-1.35331915274243	-3.0	-1.3760499786526672
191.0	-2.677125011678561	3.0	-3.0	3.0	-3.0	-3.0	1.1336471471822567	-3.0	-3.0
192.0	-2.764921609558851	3.0	-3.0	3.0	-0.9589500609413244	0.014695393184193568	0.18513623341288613	-3.0	-3.0
193.0	-2.760123798595606	3.0	-1.5140349438231697	3.0	-1.186894118031145	-1.9158623241364092	0.8148004029780164	-3.0	-1.7541828714391094
194.0	-2.594060986241879	3.0	-3.0	3.0	-1.9270661896462131	3.0	-3.0	-3.0	-3.0
195.0	-2.7102792381096315	3.0	-0.6223618355286292	3.0	0.7384054295337572	-1.56132656442426	-3.0	-3.0	-0.46258895189329763
196.0	-2.752595109287202	3.0	3.0	3.0	-3.0	3.0	-0.33706084593747376	-3.0	-0.20345588744594606
197.0	-2.686723214562508	3.0	-1.7352607600792012	1.2788305346121147	-1.7021220175984315	0.9636057448282891	0.6679725538326149	-3.0	-3.0
198.0	-2.702934412552596	3.0	-2.111660098917254	3.0	3.0	3.0	0.296145995079474	-1.1203243786243637	-0.11872307431393318
199.0	-2.7785543840973426	3.0	-2.84667636004615	3.0	0.7967933061144623	-0.6399341470313205	-0.855943680680322	-3.0	-1.974659386342745
200.0	-2.7771640023949016	3.0	3.0	1.9153325732608124	-1.8686161927623153	0.7529039341897135	-0.4753027991204357	-3.0	0.7478762697684386
